,Unnamed: 0,NAME,COUNTY,E_TOTPOP,RPL_THEMES
144,144,Alabama,Jefferson,3645,0.8989
145,145,Alabama,Jefferson,1357,0.8263
146,146,Alabama,Jefferson,3466,0.0475
147,147,Alabama,Jefferson,3365,0.6043
148,148,Alabama,Jefferson,2494,0.8657
149,149,Alabama,Jefferson,6073,0.8861
150,150,Alabama,Jefferson,5019,0.8675
151,151,Alabama,Jefferson,4729,0.4999
152,152,Alabama,Jefferson,2835,0.9249
153,153,Alabama,Jefferson,3653,0.9491
154,154,Alabama,Jefferson,1333,0.9398
155,155,Alabama,Jefferson,6647,0.167
156,156,Alabama,Jefferson,6375,0.284
157,157,Alabama,Jefferson,7284,0.0578
158,158,Alabama,Jefferson,5902,0.427
159,159,Alabama,Jefferson,1841,0.8014
160,160,Alabama,Jefferson,11535,0.3339
161,161,Alabama,Jefferson,4755,0.1969
162,162,Alabama,Jefferson,5675,0.0742
163,163,Alabama,Jefferson,8804,0.4473
164,164,Alabama,Jefferson,2169,0.2251
165,165,Alabama,Jefferson,5119,0.1391
166,166,Alabama,Jefferson,4315,0.8476
167,167,Alabama,Jefferson,6406,0.1809
168,168,Alabama,Jefferson,6777,0.5052
169,169,Alabama,Jefferson,3765,0.5068
170,170,Alabama,Jefferson,9593,0.486
171,171,Alabama,Jefferson,3697,0.1563
172,172,Alabama,Jefferson,7825,0.5376
173,173,Alabama,Jefferson,7148,0.9268
174,174,Alabama,Jefferson,2894,0.7088
175,175,Alabama,Jefferson,2365,0.6064
176,176,Alabama,Jefferson,4654,0.6649
177,177,Alabama,Jefferson,7617,0.3185
178,178,Alabama,Jefferson,4303,0.5844
179,179,Alabama,Jefferson,2746,0.7903
180,180,Alabama,Jefferson,3783,0.4692
181,181,Alabama,Jefferson,2539,0.4087
182,182,Alabama,Jefferson,3770,0.6793
183,183,Alabama,Jefferson,3283,0.7899
184,184,Alabama,Jefferson,4018,0.7218
185,185,Alabama,Jefferson,2995,0.7348
186,186,Alabama,Jefferson,6208,0.1797
187,187,Alabama,Jefferson,4650,0.4108
188,188,Alabama,Jefferson,5976,0.0232
189,189,Alabama,Jefferson,6414,0.3115
190,190,Alabama,Jefferson,4210,0.9266
191,191,Alabama,Jefferson,2245,0.732
192,192,Alabama,Jefferson,3341,0.9786
193,193,Alabama,Jefferson,4790,0.5621
194,194,Alabama,Jefferson,3456,0.8798
195,195,Alabama,Jefferson,2067,0.8583
196,196,Alabama,Jefferson,1671,0.808
197,197,Alabama,Jefferson,3593,0.1845
198,198,Alabama,Jefferson,3655,0.4302
199,199,Alabama,Jefferson,3168,0.8588
200,200,Alabama,Jefferson,4718,0.9071
201,201,Alabama,Jefferson,13154,0.1955
202,202,Alabama,Jefferson,9774,0.1079
203,203,Alabama,Jefferson,2661,0.6521
204,204,Alabama,Jefferson,8344,0.2451
205,205,Alabama,Jefferson,5884,0.0412
206,206,Alabama,Jefferson,5326,0.0725
207,207,Alabama,Jefferson,9604,0.0324
208,208,Alabama,Lamar,5251,0.7574
209,209,Alabama,Lamar,4022,0.3772
210,210,Alabama,Lauderdale,3316,0.7867
211,211,Alabama,Lauderdale,3604,0.8762
212,212,Alabama,Lauderdale,7060,0.6345
213,213,Alabama,Lauderdale,4727,0.7075
214,214,Alabama,Lauderdale,5725,0.3413
215,215,Alabama,Lauderdale,4237,0.1689
216,216,Alabama,Lauderdale,4043,0.3076
217,217,Alabama,Lauderdale,6521,0.1853
218,218,Alabama,Lauderdale,6958,0.349
219,219,Alabama,Lauderdale,4743,0.5259
220,220,Alabama,Lauderdale,4395,0.4386
221,221,Alabama,Lauderdale,7106,0.3373
222,222,Alabama,Lauderdale,4496,0.3514
223,223,Alabama,Lauderdale,4552,0.3398
224,224,Alabama,Lauderdale,3797,0.4932
225,225,Alabama,Lawrence,4543,0.561
226,226,Alabama,Lawrence,3485,0.3906
227,227,Alabama,Lee,5258,0.2872
228,228,Alabama,Lee,7129,0.4052
229,229,Alabama,Lee,9978,0.3331
230,230,Alabama,Lee,6375,0.6168
231,231,Alabama,Lee,5468,0.6241
232,232,Alabama,Lee,5061,0.4156
233,233,Alabama,Lee,7770,0.3773
234,234,Alabama,Lee,3618,0.4157
235,235,Alabama,Lee,12766,0.3608
236,236,Alabama,Lee,4896,0.5112
237,237,Alabama,Lee,2189,0.5595
238,238,Alabama,Limestone,5600,0.2481
239,239,Alabama,Limestone,3815,0.1645
240,240,Alabama,Limestone,5796,0.5869
241,241,Alabama,Limestone,5704,0.6465
242,242,Alabama,Limestone,2283,0.9028
243,243,Alabama,Limestone,10164,0.2493
244,244,Alabama,Limestone,4596,0.3334
245,245,Alabama,Limestone,2543,0.5461
246,246,Alabama,Limestone,15033,0.2667
247,247,Alabama,Macon,1157,0.5494
248,248,Alabama,Macon,1355,0.8207
249,249,Alabama,Macon,1387,0.5768
250,250,Alabama,Madison,897,0.9557
251,251,Alabama,Madison,4111,0.7966
252,252,Alabama,Madison,3410,0.8914
253,253,Alabama,Madison,4712,0.4943
254,254,Alabama,Madison,2059,0.7549
255,255,Alabama,Madison,2603,0.6781
256,256,Alabama,Madison,1780,0.602
257,257,Alabama,Madison,2617,0.962
258,258,Alabama,Madison,2506,0.9278
259,259,Alabama,Madison,2781,0.291
260,260,Alabama,Madison,1805,0.7963
261,261,Alabama,Madison,1738,0.1948
262,262,Alabama,Madison,3735,0.0889
263,263,Alabama,Madison,2060,0.1065
264,264,Alabama,Madison,4950,0.8653
265,265,Alabama,Madison,3191,0.7538
266,266,Alabama,Madison,4434,0.5956
267,267,Alabama,Madison,7019,0.1606
268,268,Alabama,Madison,6372,0.5814
269,269,Alabama,Madison,3524,0.0183
270,270,Alabama,Madison,9515,0.4239
271,271,Alabama,Madison,5986,0.1363
272,272,Alabama,Madison,7474,0.4353
273,273,Alabama,Madison,4321,0.4688
274,274,Alabama,Madison,6160,0.3433
275,275,Alabama,Madison,13322,0.1788
276,276,Alabama,Madison,3805,0.2718
277,277,Alabama,Madison,7130,0.1255
278,278,Alabama,Madison,8093,0.0595
279,279,Alabama,Madison,9343,0.2985
280,280,Alabama,Madison,8451,0.5262
281,281,Alabama,Madison,9957,0.2127
282,282,Alabama,Madison,15883,0.0184
283,283,Alabama,Madison,3295,0.4162
284,284,Alabama,Madison,10016,0.1192
285,285,Alabama,Madison,5500,0.0432
286,286,Alabama,Madison,5189,0.1984
287,287,Alabama,Madison,9305,0.101
288,288,Alabama,Madison,12704,0.2208
289,289,Alabama,Madison,6705,0.3675
290,290,Alabama,Madison,4483,0.4009
291,291,Alabama,Marengo,4771,0.8632
292,292,Alabama,Marengo,4012,0.703
293,293,Alabama,Marengo,4288,0.6268
294,294,Alabama,Marion,5440,0.7345
295,295,Alabama,Marion,3360,0.8416
296,296,Alabama,Marion,5311,0.693
297,297,Alabama,Marshall,5275,0.3001
298,298,Alabama,Marshall,4965,0.368
299,299,Alabama,Marshall,6557,0.2982
300,300,Alabama,Marshall,4508,0.5767
301,301,Alabama,Marshall,3503,0.3946
302,302,Alabama,Marshall,7039,0.6166
303,303,Alabama,Marshall,6472,0.6823
304,304,Alabama,Marshall,3500,0.8469
305,305,Alabama,Marshall,3894,0.7568
306,306,Alabama,Marshall,5328,0.8889
307,307,Alabama,Marshall,4504,0.4625
308,308,Alabama,Marshall,5424,0.8552
309,309,Alabama,Marshall,5445,0.6802
310,310,Alabama,Marshall,5603,0.9598
311,311,Alabama,Marshall,5911,0.612
312,312,Alabama,Mobile,1434,0.8709
313,313,Alabama,Mobile,2141,0.8192
314,314,Alabama,Mobile,1949,0.2486
315,315,Alabama,Mobile,1558,0.6215
316,316,Alabama,Mobile,1729,0.4016
317,317,Alabama,Mobile,2620,0.8306
318,318,Alabama,Mobile,2271,0.7015
319,319,Alabama,Mobile,2988,0.578
320,320,Alabama,Mobile,1683,0.1346
321,321,Alabama,Mobile,3757,0.641
322,322,Alabama,Mobile,2187,0.8201
323,323,Alabama,Mobile,1710,0.8862
324,324,Alabama,Mobile,3036,0.9061
325,325,Alabama,Mobile,3593,0.0895
326,326,Alabama,Mobile,2441,0.915
327,327,Alabama,Mobile,2268,0.9845
328,328,Alabama,Mobile,4803,0.4817
329,329,Alabama,Mobile,3416,0.5354
330,330,Alabama,Mobile,4465,0.8497
331,331,Alabama,Mobile,2623,0.7056
332,332,Alabama,Mobile,1685,0.3619
333,333,Alabama,Mobile,2966,0.6758
334,334,Alabama,Mobile,6809,0.4897
335,335,Alabama,Mobile,3541,0.5959
336,336,Alabama,Mobile,3760,0.1296
337,337,Alabama,Mobile,2364,0.0354
338,338,Alabama,Mobile,3588,0.5959
339,339,Alabama,Mobile,4290,0.3855
340,340,Alabama,Mobile,4897,0.2186
341,341,Alabama,Mobile,7491,0.3339
342,342,Alabama,Mobile,1412,0.7444
343,343,Alabama,Mobile,1921,0.8406
344,344,Alabama,Mobile,647,0.6809
345,345,Alabama,Mobile,3807,0.9164
346,346,Alabama,Mobile,1419,0.6743
347,347,Alabama,Mobile,4494,0.6602
348,348,Alabama,Mobile,2765,0.765
349,349,Alabama,Mobile,7605,0.5668
350,350,Alabama,Mobile,7411,0.3923
351,351,Alabama,Mobile,5242,0.58
352,352,Alabama,Mobile,5702,0.6991
353,353,Alabama,Mobile,7566,0.4104
354,354,Alabama,Mobile,4132,0.856
355,355,Alabama,Mobile,1803,0.6346
356,356,Alabama,Mobile,11580,0.6265
357,357,Alabama,Mobile,9190,0.4522
358,358,Alabama,Mobile,9344,0.0878
359,359,Alabama,Mobile,5649,0.2728
360,360,Alabama,Mobile,5897,0.6664
361,361,Alabama,Mobile,8047,0.1953
362,362,Alabama,Mobile,3067,0.5164
363,363,Alabama,Mobile,7879,0.8337
364,364,Alabama,Mobile,4113,0.8361
365,365,Alabama,Mobile,4206,0.2024
366,366,Alabama,Mobile,4901,0.5077
367,367,Alabama,Mobile,3141,0.31
368,368,Alabama,Mobile,2674,0.3434
369,369,Alabama,Mobile,4476,0.8138
370,370,Alabama,Mobile,2897,0.6138
371,371,Alabama,Mobile,1385,0.7985
372,372,Alabama,Mobile,1978,0.7651
373,373,Alabama,Mobile,1228,0.7972
374,374,Alabama,Monroe,6459,0.852
375,375,Alabama,Monroe,2759,0.7675
376,376,Alabama,Montgomery,1326,0.884
377,377,Alabama,Montgomery,2733,0.832
378,378,Alabama,Montgomery,3337,0.6617
379,379,Alabama,Montgomery,3037,0.4201
380,380,Alabama,Montgomery,3807,0.7691
381,381,Alabama,Montgomery,3941,0.849
382,382,Alabama,Montgomery,1668,0.8294
383,383,Alabama,Montgomery,2317,0.9011
384,384,Alabama,Montgomery,5153,0.7532
385,385,Alabama,Montgomery,3996,0.7813
386,386,Alabama,Montgomery,6363,0.697
387,387,Alabama,Montgomery,4772,0.875
388,388,Alabama,Montgomery,6233,0.6819
389,389,Alabama,Montgomery,7846,0.1307
390,390,Alabama,Montgomery,2985,0.4581
391,391,Alabama,Montgomery,5441,0.0887
392,392,Alabama,Montgomery,1214,0.0709
393,393,Alabama,Montgomery,3541,0.05
394,394,Alabama,Montgomery,5068,0.1619
395,395,Alabama,Montgomery,1862,0.1049
396,396,Alabama,Montgomery,1571,0.677
397,397,Alabama,Montgomery,3160,0.8819
398,398,Alabama,Montgomery,2188,0.9183
399,399,Alabama,Morgan,4052,0.9897
400,400,Alabama,Morgan,2917,0.4324
401,401,Alabama,Morgan,4100,0.8944
402,402,Alabama,Morgan,3476,0.5791
403,403,Alabama,Morgan,5521,0.5242
404,404,Alabama,Morgan,2401,0.3222
405,405,Alabama,Morgan,6254,0.6544
406,406,Alabama,Morgan,4718,0.2387
407,407,Alabama,Morgan,4128,0.9227
408,408,Alabama,Morgan,8300,0.2117
409,409,Alabama,Morgan,3779,0.3173
410,410,Alabama,Morgan,3413,0.5633
411,411,Alabama,Morgan,6007,0.2072
412,412,Alabama,Morgan,5331,0.4244
413,413,Alabama,Pickens,4805,0.4917
414,414,Alabama,Pickens,3706,0.9232
415,415,Alabama,Pickens,5078,0.8798
416,416,Alabama,Pike,5513,0.9591
417,417,Alabama,Pike,7448,0.4806
418,418,Alabama,Randolph,4066,0.6337
419,419,Alabama,Randolph,4821,0.7666
420,420,Alabama,Russell,6064,0.4668
421,421,Alabama,Russell,3302,0.602
422,422,Alabama,Russell,2399,0.7644
423,423,Alabama,Russell,7148,0.9814
424,424,Alabama,Russell,11487,0.5077
425,425,Alabama,St. Clair,5187,0.1629
426,426,Alabama,St. Clair,6348,0.6641
427,427,Alabama,St. Clair,6985,0.6705
428,428,Alabama,St. Clair,10917,0.254
429,429,Alabama,Shelby,3052,0.0013
430,430,Alabama,Shelby,5016,0.1869
431,431,Alabama,Shelby,8564,0.2034
432,432,Alabama,Shelby,4524,0.1114
433,433,Alabama,Shelby,8106,0.0528
434,434,Alabama,Shelby,3852,0.265
435,435,Alabama,Shelby,5617,0.5436
436,436,Alabama,Shelby,5792,0.4652
437,437,Alabama,Shelby,4100,0.1351
438,438,Alabama,Shelby,5627,0.274
439,439,Alabama,Shelby,6084,0.0908
440,440,Alabama,Shelby,4515,0.0552
441,441,Alabama,Shelby,1203,0.0072
442,442,Alabama,Shelby,4955,0.0331
443,443,Alabama,Shelby,4126,0.0158
444,444,Alabama,Shelby,7044,0.0221
445,445,Alabama,Shelby,2536,0.6246
446,446,Alabama,Shelby,3052,0.1335
447,447,Alabama,Shelby,3172,0.6351
448,448,Alabama,Shelby,6980,0.4663
449,449,Alabama,Shelby,2715,0.1949
450,450,Alabama,Shelby,7495,0.337
451,451,Alabama,Shelby,8537,0.328
452,452,Alabama,Shelby,6075,0.1563
453,453,Alabama,Shelby,3449,0.0943
454,454,Alabama,Shelby,8099,0.1977
455,455,Alabama,Shelby,3889,0.7691
456,456,Alabama,Talladega,4966,0.1812
457,457,Alabama,Talladega,2955,0.5854
458,458,Alabama,Talladega,4678,0.7204
459,459,Alabama,Talladega,4042,0.674
460,460,Alabama,Talladega,2032,0.6503
461,461,Alabama,Tallapoosa,3992,0.7285
462,462,Alabama,Tallapoosa,4307,0.9739
463,463,Alabama,Tallapoosa,4703,0.9262
464,464,Alabama,Tallapoosa,6129,0.7531
465,465,Alabama,Tallapoosa,2757,0.2167
466,466,Alabama,Tuscaloosa,4515,0.0136
467,467,Alabama,Tuscaloosa,3026,0.0909
468,468,Alabama,Tuscaloosa,3452,0.1222
469,469,Alabama,Tuscaloosa,10278,0.2813
470,470,Alabama,Tuscaloosa,2709,0.1572
471,471,Alabama,Tuscaloosa,4850,0.4745
472,472,Alabama,Tuscaloosa,6488,0.4217
473,473,Alabama,Tuscaloosa,4195,0.419
474,474,Alabama,Tuscaloosa,5077,0.1829
475,475,Alabama,Tuscaloosa,6919,0.2433
476,476,Alabama,Tuscaloosa,4921,0.2841
477,477,Alabama,Tuscaloosa,3062,0.8193
478,478,Alabama,Tuscaloosa,4962,0.8505
479,479,Alabama,Tuscaloosa,3194,0.9494
480,480,Alabama,Tuscaloosa,2972,0.6578
481,481,Alabama,Tuscaloosa,7571,0.6822
482,482,Alabama,Tuscaloosa,3738,0.5926
483,483,Alabama,Tuscaloosa,5260,0.4283
484,484,Alabama,Tuscaloosa,3754,0.3432
485,485,Alabama,Tuscaloosa,2904,0.9242
486,486,Alabama,Tuscaloosa,6984,0.7786
487,487,Alabama,Tuscaloosa,6737,0.1324
488,488,Alabama,Tuscaloosa,4722,0.1313
489,489,Alabama,Tuscaloosa,5251,0.6095
490,490,Alabama,Walker,6811,0.6528
491,491,Alabama,Walker,1925,0.9226
492,492,Alabama,Winston,4100,0.7346
493,493,Alaska,Anchorage,5709,0.3113
494,494,Alaska,Anchorage,5439,0.2603
495,495,Alaska,Anchorage,6353,0.3906
496,496,Alaska,Anchorage,11793,0.0447
497,497,Alaska,Anchorage,6405,0.8251
498,498,Alaska,Anchorage,5744,0.8185
499,499,Alaska,Anchorage,3904,0.2838
500,500,Alaska,Anchorage,3127,0.1457
